names,ratings,classified,school_address,zipcode,types,grades,student_nums,st_ratios,districts
Holly Grove Christian School,Currently unrated,Currently unrated,"7317 Mennonite Church Road, Westover, MD", 21871,Private,PK-12,489,,
Salisbury Baptist Academy,Currently unrated,Currently unrated,"6413 Hobbs Road, Salisbury, MD", 21804,Private,K-11,48,,
The Heights School,Currently unrated,Currently unrated,"10400 Seven Locks Road, Potomac, MD", 20854,Private,3-12,465,,
Al-Rahmah School,Currently unrated,Currently unrated,"6631 Johnnycake Rd, Baltimore, MD", 21244,Private,PK-12,400,,
Alpert Family Aleph Bet Jewish Day School,Currently unrated,Currently unrated,"1125 Spa Road, Annapolis, MD", 21403,Private,K-5,36,,
Baltimore Christian Academy,Currently unrated,Currently unrated,"P.O. Box 7092 1903 Bloomingdale Road, Baltimore, MD", 21216,Private,PK-5,,,
Bethel Christian Academy,Currently unrated,Currently unrated,"8455 Savage Guilford Rd, Savage, MD", 20763,Private,PK-8,329,,
Bethel Christian School,Currently unrated,Currently unrated,"505 W Lanvale St, Baltimore, MD", 21217,Private,PK-5,,,
The Catholic High School of Baltimore,Currently unrated,Currently unrated,"2800 Edison Hwy, Baltimore, MD", 21213,Private,9-12,320,,
Chesapeake Christian School,Currently unrated,Currently unrated,"900 Trimble Rd, Joppa, MD", 21085,Private,K-12,,,
Christ Church School,Currently unrated,Currently unrated,"P.O. Box 1467, La Plata, MD", 20646,Private,PK-5,,,
Community Services for Autistic Children,Currently unrated,Currently unrated,"21515 Zion Road, Brookeville, MD", 20833,Private,Ungraded,,,
Divine Peace Elementary School,Currently unrated,Currently unrated,"1500 Brown Station Road, Upper Marlboro, MD", 20774,Private,K-8,50,,
Bittinger Mennonite School,Currently unrated,Currently unrated,"10707 Bittinger Road, Bittinger, MD", 21522,Private,K-11,43,,
Kiddie Academy Child Care Lear,Currently unrated,Currently unrated,"9004 Yellow Brick Road, Baltimore, MD", 21237,Private,K,,,
Evergreen Montessori School,Currently unrated,Currently unrated,"10700 Georgia Avenue, Wheaton-Glenmont, MD", 20902,Private,PK-3,79,,
First Baptist School Of Laurel,Currently unrated,Currently unrated,"15002 First Baptist Lane, Laurel, MD", 20707,Private,PK-8,120,,
From the Heart Christian School,Currently unrated,Currently unrated,"4949 Allentown Rd, Suitland, MD", 20746,Private,PK-12,235,,
Grace Bible Baptist School,Currently unrated,Currently unrated,"1518 North Rolling Road, Catonsville, MD", 21228,Private,K-12,140,,
Grace Christian Academy of Maryland,Currently unrated,Currently unrated,"13000 Zekiah Drive, Waldorf, MD", 20601,Private,PK-12,400,,
Grace Lutheran School,Currently unrated,Currently unrated,"1200 Charles St, La Plata, MD", 20646,Private,PK-8,250,,
Hagerstown Mennonite Fellowship School,Currently unrated,Currently unrated,"12341 Huyett Lane, Hagerstown, MD", 21740,Private,1-8,16,,
Heritage Montessori School,Currently unrated,Currently unrated,"9515 Belair Rd, Baltimore, MD", 21236,Private,PK-5,71,,
Hillside Mennonite School,Currently unrated,Currently unrated,"11610 Greencastle Pike, Hagerstown, MD", 21740,Private,1-11,108,,
Hopewell Mennonite School,Currently unrated,Currently unrated,"14910 Harrisville Road, Mount Airy, MD", 21771,Private,1-10,26,,
Islamic Community School,Currently unrated,Currently unrated,"1335 West North Avenue, Baltimore, MD", 21217,Private,1-12,29,,
Julia Brown Montessori School,Currently unrated,Currently unrated,"1300 Milestone Drive, Silver Spring, MD", 20904,Private,PK-3,110,,
Lamb of God School,Currently unrated,Currently unrated,"1810 Fairview Avenue, Arbutus, MD", 21227,Private,K-8,144,,
The Learning Community Interna,Currently unrated,Currently unrated,"Worldwide: Wherever our student are!, Annapolis, MD", 21401,Private,K-12,150,,
Mechanicsville Mennonite Chrst,Currently unrated,Currently unrated,"40545 Parsons Mill Road, Leonardtown, MD", 20650,Private,1-10,,,
Montessori International Childrens House,Currently unrated,Currently unrated,"1641 N Winchester Rd, Annapolis, MD", 21409,Private,PK-6,165,,
Mother of God School,Currently unrated,Currently unrated,"20501 Goshen Road, Gaithersburg, MD", 20879,Private,PK-8,200,,
Mountain Christian School,Currently unrated,Currently unrated,"1824 Mountain Rd, Joppa, MD", 21085,Private,PK-8,284,,
Cambridge School,Currently unrated,Currently unrated,"110 Sudbrook Lane, Baltimore, MD", 21208,Private,K-8,110,,
Muslim Community School/Alim Academy,Currently unrated,Currently unrated,"7917 Montrose Road, Potomac, MD", 20854,Private,PK-9, 11-12,81,
National Christian Academy,Currently unrated,Currently unrated,"6701 Bock Road, Fort Washington, MD", 20744,Private,PK-12,270,,
Naval Academy Primary School,Currently unrated,Currently unrated,"74 Greenbury Point Road, Annapolis, MD", 21402,Private,PK-5,250,,
Belair Baptist Christian Academy,Currently unrated,Currently unrated,"Po Box 796, Bowie, MD", 20718,Private,K-12,38,,
New Dominion School,Currently unrated,Currently unrated,"20700 Wagner Cutoff Rd SE, Oldtown, MD", 21555,Private,7-12,,,
New Hope Academy,Currently unrated,Currently unrated,"7009 Varnum St, Landover Hills, MD", 20784,Private,PK-12,175,,
New Life Christian School,Currently unrated,Currently unrated,"5909 Jefferson Pike, Frederick, MD", 21703,Private,PK-12,248,,
Our Savior's School,Currently unrated,Currently unrated,"3111 Forestville Rd, Forestville, MD", 20747,Private,PK-8,26,,
Ryceville School,Currently unrated,Currently unrated,"10195 Fair Haven Road, Mechanicsville, MD", 20659,Private,1-8,29,,
Salisbury Mennonite School,Currently unrated,Currently unrated,"31612 Zion Road, Parsonsburg, MD", 21849,Private,1-10,25,,
Snow Hill Mennonite School,Currently unrated,Currently unrated,"5927 Worcester Highway, Snow Hill, MD", 21863,Private,4-11,6,,
St. Jane Frances De Chantal School,Currently unrated,Currently unrated,"8513 Saint Jane Dr, Pasadena, MD", 21122,Private,PK-8,200,,
St. Katharine School,Currently unrated,Currently unrated,"1201 N Rose St, Baltimore, MD", 21213,Private,PK-8,,,
The Summit School,Currently unrated,Currently unrated,"664 Central Avenue East, Edgewater, MD", 21037,Private,1-8,101,,
Sunny Meadow School,Currently unrated,Currently unrated,"28379 Thompson Corner Road, Mechanicsville, MD", 20659,Private,1-8,24,,
Swanton Mennonite Fellowship School,Currently unrated,Currently unrated,"13824 Bittinger Rd, Swanton, MD", 21536,Private,1-8,16,,
Life Source Christian School,Currently unrated,Currently unrated,"8855 Belair Rd, Nottingham, MD", 21236,Private,PK-5,26,,
Torah Institute,Currently unrated,Currently unrated,"35 Rosewood Lane, Owings Mills, MD", 21117,Private,PK-8,643,,
Unselds School,Currently unrated,Currently unrated,"250 S Hilton Street, Baltimore, MD", 21229,Private,PK-8,125,,
Jemicy School - Upper School,Currently unrated,Currently unrated,"303 W Chesapeake, Towson, MD", 21204,Private,8-12,,,
Epworth Childrens Center,Currently unrated,Currently unrated,"600 Warren Road, Cockeysville, MD", 21030,Private,K,7,,
Washington Episcopal School,Currently unrated,Currently unrated,"5600 Little Falls Pkwy, Bethesda, MD", 20816,Private,PK-8,280,,
Washington New Church School,Currently unrated,Currently unrated,"11914 Chantilly Ln, Mitchellville, MD", 20721,Private,PK-10,36,,
The Washington-Mclaughlin Christian School,Currently unrated,Currently unrated,"6501 Poplar Avenue, Takoma Park, MD", 20912,Private,PK-6,30,,
Hampshire View Christian School,Currently unrated,Currently unrated,"360 Ednor Road, Silver Spring, MD", 20905,Private,K-12,44,,
Cornerstone Christian Academy,Currently unrated,Currently unrated,"16010 Annapolis Road, Bowie, MD", 20715,Private,PK-8,120,,
Friends Community School,Currently unrated,Currently unrated,"5901 Westchester Park Drive, College Park, MD", 20740,Private,K-8,240,,
Oneness Family School,Currently unrated,Currently unrated,"6701 Wisconsin Ave, Chevy Chase, MD", 20815,Private,PK-8,135,,
St Annes School Of Annapolis,Currently unrated,Currently unrated,"3112 Arundel on the Bay Road, Annapolis, MD", 21403,Private,PK-8,248,,
Chapelgate Christian Academy,Currently unrated,Currently unrated,"2600 Marriottsville Road, Marriottsville, MD", 21104,Private,PK, 6-12,300,
Community Initiatives Academy,Currently unrated,Currently unrated,"1001 North Caroline Street, Baltimore, MD", 21205,Private,3-12,5,,
The Children's Learning Center,Currently unrated,Currently unrated,"4511 Bestor Drive, Rockville, MD", 20853,Private,PK-5,86,,
Baltimore White Marsh Adventist School,Currently unrated,Currently unrated,"7427 Rossville Boulevard, Rosedale, MD", 21237,Private,PK-10,50,,
Beddow School - Waldorf Campus,Currently unrated,Currently unrated,"6008 Hampshire Circle, Waldorf, MD", 20603,Private,PK-6,51,,
Baptist Christian School,Currently unrated,Currently unrated,"P.O. Box 339 9111 N Point Rd, Fort Howard, MD", 21052,Private,K-12,,,
The Mill School,Currently unrated,Currently unrated,"3110 Crittenton Pl, Baltimore, MD", 21211,Private,7-11,,,
Focus Point School,Currently unrated,Currently unrated,"1211 Farm Road, Crownsville, MD", 21032,Private,9-12,6,,
Hamilton Christian Center,Currently unrated,Currently unrated,"6508 Old Harford Road, Baltimore, MD", 21214,Private,PK-3,29,,
Loveville Mennonite School,Currently unrated,Currently unrated,"25968 Loveville Road, Mechanicsville, MD", 20659,Private,1-8,44,,
Salem School,Currently unrated,Currently unrated,"2705 Lower New Germany Road, Frostburg, MD", 21532,Private,3-12,26,,
Parkway Christian Academy,Currently unrated,Currently unrated,"P.O. Box 1714, Salisbury, MD", 21802,Private,1-12,,,
Saint Andrew's Day School,Currently unrated,Currently unrated,"4B Wallace Manor Road, Edgewater, MD", 21037,Private,PK-8,275,,
Starmaker Learning Center,Currently unrated,Currently unrated,"23443 Cottonwood Parkway, California, MD", 20619,Private,PK-3,71,,
Pathways School-Springville,Currently unrated,Currently unrated,"1106 University Boulevard West, Silver Spring, MD", 20902,Private,9-12,12,,
Baltimore Christian School,Currently unrated,Currently unrated,"505 E 42nd St, Baltimore, MD", 21218,Private,PK-5,90,,
Bay Montessori School,Currently unrated,Currently unrated,"20525 Willows Road, Lexington Park, MD", 20653,Private,PK-6,93,,
Kiddie Academy Kingsville,Currently unrated,Currently unrated,"11765 Belair Rd, Kingsville, MD", 21087,Private,K,,,
Children's Manor Montessori,Currently unrated,Currently unrated,"4465 Montgomery Road, Ellicott City, MD", 21043,Private,PK-4,326,,
Brooklyn Park Christian Academy,Currently unrated,Currently unrated,"900 Church Street, Brooklyn Park, MD", 21225,Private,5-12,,,
Columbia Academy Elementary and Middle School,Currently unrated,Currently unrated,"10350 Old Columbia Rd., Columbia, MD", 21046,Private,K-8,141,,
Covenant Life School,Currently unrated,Currently unrated,"7503 Muncaster Mill Road, Gaithersburg, MD", 20877,Private,PK-12,285,,
Emmanuel Lutheran School,Currently unrated,Currently unrated,"929 Ingleside Avenue, Baltimore, MD", 21228,Private,K-8,91,,
Free Gospel Christian Academy,Currently unrated,Currently unrated,"4703 Marlboro Pike, Capitol Heights, MD", 20743,Private,K-8,51,,
The Greenmount School,Currently unrated,Currently unrated,"501 West 30th Street, Baltimore, MD", 21211,Private,K-8,119,,
Community School of MD @ Jacks,Currently unrated,Currently unrated,"932 Hungerford Drive #40a, Rockville, MD", 20850,Private,Ungraded,,,
Celebration Christian Academy,Currently unrated,Currently unrated,"6080 Foreland Garth, Columbia, MD", 21045,Private,PK-4,44,,
Greenspring Montessori School,Currently unrated,Currently unrated,"10807 Tony Drive, Lutherville-Timonium, MD", 21093,Private,PK-8,270,,
Mitchellville Montessori School,Currently unrated,Currently unrated,"12112 Central Ave, Mitchellville, MD", 20721,Private,PK-3,,,
Kiddie Academy of Towson,Currently unrated,Currently unrated,"8600 Lasalle Road, Towson, MD", 21286,Private,K,,,
Mother Seton Academy,Currently unrated,Currently unrated,"2215 Greenmount Ave, Baltimore, MD", 21218,Private,6-8,74,,
The Baltimore Academy,Currently unrated,Currently unrated,"3800 Frederick Avenue, Baltimore, MD", 21229,Private,6-12,42,,
San Mar Children's Home,Currently unrated,Currently unrated,"8504 Mapleville Rd, Boonsboro, MD", 21713,Private,9-12,8,,
Sought Out Redeemed Christian School,Currently unrated,Currently unrated,"1214 N Broadway, Baltimore, MD", 21213,Private,11-12,7,,
Southern Md Christian Academy,Currently unrated,Currently unrated,"Po Box 1668, White Plains, MD", 20695,Private,PK-12,321,,
St Ignatius Loyola Academy,Currently unrated,Currently unrated,"740 North Calvert Street, Baltimore, MD", 21202,Private,6-8,69,,
The Greentree School,Currently unrated,Currently unrated,"6301 Greentree Road, Bethesda, MD", 20817,Private,9,4,,
The Odyssey School,Currently unrated,Currently unrated,"3257 Bridle Ridge Lane, Pikesville, MD", 21153,Private,Ungraded,163,,
Torah School Of Greater Washington,Currently unrated,Currently unrated,"2010 Linden Lane, Silver Spring, MD", 20910,Private,K-6,303,,
Van Buren Street Baptist School,Currently unrated,Currently unrated,"911 Van Buren Street, Annapolis, MD", 21403,Private,1-12,,,
Victor Cullen Academy,Currently unrated,Currently unrated,"6000 Cullen Drive, Sabillasville, MD", 21780,Private,7-12,,,
Al-Huda School,Currently unrated,Currently unrated,"5301 Edgewood Road, College Park, MD", 20740,Private,PK-12,599,,
Rabbi Benjamin Steinberg Middle School,Currently unrated,Currently unrated,"6300 Smith Ave, Baltimore, MD", 21209,Private,6-8,,,
Chesapeake Christian School,Currently unrated,Currently unrated,"250 W Bay Front Road, Lothian, MD", 20711,Private,PK-10,,,
The Ridge School Of The Eastern Shore,Currently unrated,Currently unrated,"821 Fieldcrest Road, Cambridge, MD", 21613,Private,6-12,20,,
Academy Primary School & Child Development Center,Currently unrated,Currently unrated,"10107 Darnestown Road, Rockville, MD", 20850,Private,PK-1,53,,
Clover Hill Mennonite Parochial School,Currently unrated,Currently unrated,"24981 Pin Cushion Road, Leonardtown, MD", 20650,Private,1-8,17,,
Cross Cultures Learning Center,Currently unrated,Currently unrated,"6711 Farmer Dr, Fort Washington, MD", 20744,Private,Ungraded,1,,
Elvaton Christian Academy,Currently unrated,Currently unrated,"8422 Elvaton Rd, Millersville, MD", 21108,Private,PK-8,60,,
Emmorton Baptist Academy,Currently unrated,Currently unrated,"106 Plumtree Road, Bel Air, MD", 21015,Private,K-10,17,,
Living Word Preparatory School,Currently unrated,Currently unrated,"4221 Primrose Avenue, Baltimore, MD", 21215,Private,1-12,,,
Hope Academy,Currently unrated,Currently unrated,"1808 Edison Highway, Baltimore, MD", 21213,Private,K-5,89,,
Laurel Hall School - Hagerstown,Currently unrated,Currently unrated,"Po Box 1945, Hagerstown, MD", 21742,Private,5-12,34,,
Leary School Prince Georges County,Currently unrated,Currently unrated,"7100 Oxon Hill Rd, Oxon Hill, MD", 20745,Private,7-12,19,,
The Kings Christian Academy,Currently unrated,Currently unrated,"20738 Point Lookout Rd., Callaway, MD", 20620,Private,PK-12,362,,
The Manor Montessori School,Currently unrated,Currently unrated,"Po Box 60691, Potomac, MD", 20859,Private,PK-3,117,,
Mary Of Nazareth School,Currently unrated,Currently unrated,"14131 Seneca Road, Darnestown, MD", 20874,Private,PK-8,475,,
Budds Creek School,Currently unrated,Currently unrated,"10200 Brookline Rd., Mechanicsville, MD", 20659,Private,1-8,,,
James Run Christian Academy,Currently unrated,Currently unrated,"515 Vale Rd, Bel Air, MD", 21014,Private,10-11,8,,
New Covenant Christian Academy,Currently unrated,Currently unrated,"3805 Lawrence St, Colmar Manor, MD", 20722,Private,PK-1,55,,
Oak Hill House School,Currently unrated,Currently unrated,"12806 Independence Road, Clear Spring, MD", 21722,Private,9-12,12,,
Oak Ridge Country School,Currently unrated,Currently unrated,"6712 Dogwood Road, Lochearn, MD", 21207,Private,6-11,21,,
Pioneer Baptist Church School,Currently unrated,Currently unrated,"Po Box 355, Thurmont, MD", 21788,Private,K-8,19,,
Radcliffe Creek School,Currently unrated,Currently unrated,"201 Talbot Boulevard, Chestertown, MD", 21620,Private,PK-8,136,,
Redeemer Classical Christian School,Currently unrated,Currently unrated,"6415 Mount Vista Road, Kingsville, MD", 21087,Private,PK-12,260,,
Linwood Center,Currently unrated,Currently unrated,"3421 Martha Bush Drive, Ellicott City, MD", 21043,Private,6-12,29,,
Shiningtree School,Currently unrated,Currently unrated,"Po Box 1307, Hagerstown, MD", 21741,Private,8-9,5,,
St. Anns High School,Currently unrated,Currently unrated,"4901 Eastern Ave, Hyattsville, MD", 20782,Private,9-12,,,
The Jefferson School,Currently unrated,Currently unrated,"Po Box 9, Jefferson, MD", 21755,Private,7-12,78,,
Beddow Jr/Sr High School,Currently unrated,Currently unrated,"501 Bryan Point Road, Accokeek, MD", 20607,Private,7-12,24,,
Villa Maria School At St Vincent's,Currently unrated,Currently unrated,"2600 Pot Spring Road, Lutherville-Timonium, MD", 21093,Private,2-5,42,,
Woodside School,Currently unrated,Currently unrated,"28379 Thompson Corner Road, Mechanicsville, MD", 20659,Private,1-8,30,,
Redwood Montessori Academy,Currently unrated,Currently unrated,"1605 Veirs Mill Road, Rockville, MD", 20851,Private,PK-5,40,,
Bethlehem Christian Day School,Currently unrated,Currently unrated,"4815 Hamilton Avenue, Baltimore, MD", 21206,Private,K-8,87,,
Calvary Christian Academy,Currently unrated,Currently unrated,"Po Box 5154, Cresaptown, MD", 21505,Private,PK-12,267,,
Calvary Lutheran School,Currently unrated,Currently unrated,"9545 Georgia Ave, Silver Spring, MD", 20910,Private,K-8,36,,
Faith Baptist School,Currently unrated,Currently unrated,"30505 Dagsboro Road, Salisbury, MD", 21804,Private,PK-12,112,,
Christ the King Academy,Currently unrated,Currently unrated,"515 Academy Ave, Owings Mills, MD", 21117,Private,K-1, 3-4,5,
Lake Shore Christian Academy,Currently unrated,Currently unrated,"860 Swift Rd, Pasadena, MD", 21122,Private,PK-12,29,,
Maryvale Preparatory School,Currently unrated,Currently unrated,"11300 Falls Road, Lutherville, MD", 21093,Private,6-12,362,,
St Peters Christian Day School,Currently unrated,Currently unrated,"7910 Belair Road, Nottingham, MD", 21236,Private,PK-5,90,,
Wesleyan Christian School,Currently unrated,Currently unrated,"Po Box 118, Denton, MD", 21629,Private,PK-12,91,,
Hudson SDA School,Currently unrated,Currently unrated,"1010 Old Jappa Road, Joppa, MD", 21085,Private,2-8,,,
Calvary Lutheran School,Currently unrated,Currently unrated,"2625 East Northern Parkway, Baltimore, MD", 21214,Private,PK-5,100,,
Free State Montessori School,Currently unrated,Currently unrated,"Po Box 179, Fork, MD", 21051,Private,PK-5,75,,
Mount Airy Christian Academy,Currently unrated,Currently unrated,"16700 Old Frederick Road, Mount Airy, MD", 21771,Private,PK-12,320,,
Gateway Christian Academy,Currently unrated,Currently unrated,"31525 John Deere Drive, Salisbury, MD", 21804,Private,3-8,,,
George E Peters Adventist School,Currently unrated,Currently unrated,"6303 Riggs Road, Hyattsville, MD", 20783,Private,PK-8,93,,
Trinity Lutheran School,Currently unrated,Currently unrated,"1100 Philadelphia Rd, Joppa, MD", 21085,Private,K-8,234,,
The Peake Academy,Currently unrated,Currently unrated,"4190 Hunting Creek Road, Huntingtown, MD", 20639,Private,6-8,,,
The Tidewater School,Currently unrated,Currently unrated,"120 Cox Road, Huntingtown, MD", 20639,Private,PK-5,48,,
St Vincent Pallotti High School,Currently unrated,Currently unrated,"113 St. Mary's Place, Laurel, MD", 20707,Private,9-12,441,,
Faith Baptist Christian School,Currently unrated,Currently unrated,"12700 Claxton Drive, Laurel, MD", 20708,Private,PK-8,157,,
Patuxent Montessori School,Currently unrated,Currently unrated,"14210 Old Stage Road, Bowie, MD", 20720,Private,PK-6,48,,
Cardinal Hickey Academy,Currently unrated,Currently unrated,"1601 West Mount Harmony Road, Owings, MD", 20736,Private,PK-8,182,,
Renaissance Christian Academy,Currently unrated,Currently unrated,"2101 Shadyside, Upper Marlboro, MD", 20746,Private,PK-8,156,,
Progressive Christian Academy,Currently unrated,Currently unrated,"5408 Brinkley Road, Temple Hills, MD", 20748,Private,PK-12,21,,
Butler School,Currently unrated,Currently unrated,"15951 Germantown Road, Germantown, MD", 20874,Private,PK-8,150,,
Church of the Redeemer Christian School,Currently unrated,Currently unrated,"19425 Woodfield Road, Gaithersburg, MD", 20879,Private,PK-8,260,,
Columbia Montessori School,Currently unrated,Currently unrated,"10508 Marble Faun Ln, Columbia, MD", 21044,Private,PK-1,70,,
Tree of Life Christian Academy,Currently unrated,Currently unrated,"1406b Crain Highway S, Glen Burnie, MD", 21061,Private,3-12,,,
Faith Christian School,Currently unrated,Currently unrated,"30 North Cranberry Road, Westminster, MD", 21157,Private,PK-12,104,,
Vision Christian Academy,Currently unrated,Currently unrated,"700 Poplar Grove Street, Baltimore, MD", 21216,Private,K-8,,,
Frederick Montessori School,Currently unrated,Currently unrated,"6707 Jefferson Blvd, Braddock Heights, MD", 21714,Private,PK-3,,,
Lighthouse Christian Academy,Currently unrated,Currently unrated,"7 Pleasantview Church Road, Port Deposit, MD", 21904,Private,PK-12,230,,
Quality Time Early Learning Center,Currently unrated,Currently unrated,"8101 Georgia Avenue, Silver Spring, MD", 20910,Private,PK-1,99,,
Cornerstone Christian Academy,Currently unrated,Currently unrated,"290 Whitehall Rd, Elkton, MD", 21921,Private,PK-7,46,,
Charles E Smith Jewish Day School,Currently unrated,Currently unrated,"1901 E Jefferson St, Rockville, MD", 20852,Private,K-12,1100,,
Trinity School,Currently unrated,Currently unrated,"4985 Ilchester Road, Ellicott City, MD", 21043,Private,PK-8,310,,
St. Joseph Elementary School,Currently unrated,Currently unrated,"105 Church Lane, Cockeysville, MD", 21030,Private,K-8,,,
Ruxton Country School,Currently unrated,Currently unrated,"11202 Garrison Forest Rd, Owings Mills, MD", 21117,Private,K-8,,,
St. Timothys School,Currently unrated,Currently unrated,"8400 Greenspring Ave, Stevenson, MD", 21153,Private,9-12,200,,
Book Of Life Academy,Currently unrated,Currently unrated,"913 Cedar Park Road, Annapolis, MD", 21401,Private,PK-5,65,,
Seneca Academy,Currently unrated,Currently unrated,"15601 Germantown Road, Germantown, MD", 20874,Private,PK-5,180,,
Mechanicsville Mennonite School,Currently unrated,Currently unrated,"Po Box 8, Loveville, MD", 20656,Private,1-10,34,,
Mt Zion Baptist Christian School,Currently unrated,Currently unrated,"2000 East Belvedere Avenue, Baltimore, MD", 21239,Private,PK-12,136,,
Pathways School - Northwood At Hyattsville,Currently unrated,Currently unrated,"3401 East West Highway, Hyattsville, MD", 20782,Private,6-12,23,,
Bright Stars Learning Academy,Currently unrated,Currently unrated,"5890 Cedar Ln, Columbia, MD", 21044,Private,K-1,66,,
Academy of the Child,Currently unrated,Currently unrated,"19711 Waters Road, Germantown, MD", 20874,Private,Ungraded,70,,
Amigonian School,Currently unrated,Currently unrated,"7600 Alpine Beach Rd. P.O. Box 1008, Pasadena, MD", 21122,Private,Ungraded,,,
An-Nur Academy,Currently unrated,Currently unrated,"9150 Lanham Severn Road, Lanham, MD", 20706,Private,K,,,
Open Hands Christian Academy,Currently unrated,Currently unrated,"3293 Brinkley Road, Temple Hills, MD", 20748,Private,PK-1,,,
Asbury Town Neck Christian Academy,Currently unrated,Currently unrated,"429 Asbury Dr, Severna Park, MD", 21146,Private,PK-3,,,
Baltimore Academy of Excellence,Currently unrated,Currently unrated,"4210 Belair Rd, Baltimore, MD", 21206,Private,3-10,,,
Center For Creative Learning,Currently unrated,Currently unrated,"5150 Baltimore National Pike, Baltimore, MD", 21229,Private,PK-4,112,,
Ebenezer Christian School,Currently unrated,Currently unrated,"17618 Virginia Avenue, Hagerstown, MD", 21740,Private,K-12,26,,
Fairhaven School,Currently unrated,Currently unrated,"17900 Queen Anne Road, Upper Marlboro, MD", 20774,Private,Ungraded,50,,
Faith Christian Academy,Currently unrated,Currently unrated,"8014 Old National Pike, Boonsboro, MD", 21713,Private,PK-11,,,
New Visions Academy,Currently unrated,Currently unrated,"8601 Ashwood Drive, Capitol Heights, MD", 20743,Private,9-12,40,,
Friends Meeting School,Currently unrated,Currently unrated,"3232 Green Valley Road, Ijamsville, MD", 21754,Private,PK-11,95,,
Gateway Christian Academy,Currently unrated,Currently unrated,"P.O. Box 590, Williamsport, MD", 21795,Private,PK-12,,,
God's Church International Higher Learning,Currently unrated,Currently unrated,"4650 Suitland Road, Suitland-Silver Hill, MD", 20746,Private,PK-12,35,,
Gospel Light Baptist Academy,Currently unrated,Currently unrated,"39315 Romans Way, Mechanicsville, MD", 20659,Private,K-8,,,
Hattie Sams Learning Center,Currently unrated,Currently unrated,"1216 E Baltimore St, Baltimore, MD", 21202,Private,5-8,,,
Annapolis Area Christian School - Elementary School,Currently unrated,Currently unrated,"710 Ridgely Ave in Annapolis and 61 Gambrills Rd in Severn, Annapolis, MD", 21401,Private,PK-5,290,,
The Highlands School,Currently unrated,Currently unrated,"2409 Creswell Road, Bel Air, MD", 21015,Private,K-9,86,,
Rockbridge Academy,Currently unrated,Currently unrated,"680 Evergreen Road, Millersville, MD", 21108,Private,K-12,334,,
The Julia Brown Montessori Schools,Currently unrated,Currently unrated,"3400 Queen Mary Drive, Olney, MD", 20832,Private,PK-3,67,,
Kingsway Academy,Currently unrated,Currently unrated,"10712 Marriottsville Rd, Randallstown, MD", 21133,Private,3-12,,,
Lighthouse Christian Academy,Currently unrated,Currently unrated,"2020 Bedford Street, Cumberland, MD", 21502,Private,PK-12,149,,
Maranatha Christian Academy,Currently unrated,Currently unrated,"1440 Taney Ave, Frederick, MD", 21702,Private,PK-8,,,
New Life Academy,Currently unrated,Currently unrated,"12345 Georgia Ave, Silver Spring, MD", 20906,Private,K-10,,,
New Mark Of Excellence School,Currently unrated,Currently unrated,"2605 North Rolling Road, Milford Mill, MD", 21244,Private,PK-12,83,,
Oakmont School,Currently unrated,Currently unrated,"17051 Oakmont Avenue, Gaithersburg, MD", 20877,Private,8-12,,,
Olney Adventist Preparatory,Currently unrated,Currently unrated,"4100 Olney Laytonsville Road, Olney, MD", 20832,Private,K-8,97,,
Rock Junior Academy,Currently unrated,Currently unrated,"3527 N Rolling Rd Ste 10, Baltimore, MD", 21244,Private,PK-5,,,
Boonsboro Christian Academy,Currently unrated,Currently unrated,"7605 Old National Pike, Boonsboro, MD", 21713,Private,PK-11,18,,
Woodbourne School,Currently unrated,Currently unrated,"1301 Woodbourne Avenue, Baltimore, MD", 21239,Private,6-12,47,,
Wood Burn Hill School,Currently unrated,Currently unrated,"28379 Thompson Corner Road, Mechanicsville, MD", 20659,Private,1-8,29,,
Word of Life Christian Academy,Currently unrated,Currently unrated,"P.O. Box 44327, Fort Washington, MD", 20749,Private,PK-5,,,
Love of Learning Montessori School,Currently unrated,Currently unrated,"9151 Rumsey Rd. Ste 100, Columbia, MD", 21045,Private,PK-6,125,,
St Pauls Lutheran School,Currently unrated,Currently unrated,"12022 Jerusalem Road, Kingsville, MD", 21087,Private,PK-8,162,,
Julia Brown Montessori School,Currently unrated,Currently unrated,"9760 Owen Brown Road, Columbia, MD", 21045,Private,PK-3,76,,
St Martin's In-The-Field Day School,Currently unrated,Currently unrated,"375A Benfield Road, Severna Park, MD", 21146,Private,PK-8,175,,
Wicomico Day School,Currently unrated,Currently unrated,"1315 Old Ocean City Road, Salisbury, MD", 21804,Private,PK-7,173,,
Hagerstown Childrens School,Currently unrated,Currently unrated,"141 South Potomac Street, Hagerstown, MD", 21740,Private,K,7,,
Lime Kiln Middle School,9/10,Above average,"11650 Scaggsville Road, Fulton, MD", 20759,Public district,6-8,718,12:1,Howard County Public Schools
Fruitland Primary School,Currently unrated,Currently unrated,"301 North Division Street, Fruitland, MD", 21826,Public district,PK-2,509,16:1,Wicomico County Public Schools
Century High School,10/10,Above average,"355 Ronsdale Road, Sykesville, MD", 21784,Public district,9-12,1094,12:1,Carroll County Public Schools
F. B. Gwynn Educational Center,Currently unrated,Currently unrated,"5998 Radio Station Road, La Plata, MD", 20646,Public district,Ungraded,,,Charles County Public Schools
Forest Hill Elementary School,9/10,Above average,"2407 Rocks Road, Forest Hill, MD", 21050,Public district,K-5,474,12:1,Harford County Public Schools
