names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Stevensville Middle School,8/10,7/10,,4/10
Sudlersville Middle School,7/10,7/10,,6/10
Chopticon High School,6/10,,7/10,6/10
Esperanza Middle School,8/10,7/10,,6/10
Leonardtown Middle School,9/10,8/10,,7/10
Margaret Brent Middle School,8/10,6/10,,5/10
Spring Ridge Middle School,7/10,8/10,,5/10
Easton Middle School,6/10,6/10,,3/10
St. Michaels Elementary School,8/10,8/10,,3/10
St. Michaels Middle/High School,7/10,7/10,7/10,5/10
White Marsh Elementary School,7/10,8/10,,4/10
Boonsboro High School,7/10,,7/10,5/10
Cascade Elementary School,7/10,4/10,,5/10
Clear Spring High School,7/10,,9/10,5/10
Hancock Elementary School,7/10,7/10,,5/10
Hancock Middle Senior High School,5/10,6/10,5/10,5/10
North Hagerstown High School,6/10,,5/10,5/10
Sharpsburg Elementary School,7/10,,,5/10
Smithsburg Elementary School,6/10,6/10,,5/10
Williamsport Elementary School,8/10,7/10,,5/10
Bennett Middle School,6/10,6/10,,4/10
Delmar Elementary School,7/10,,,5/10
North Salisbury Elementary School,8/10,8/10,,5/10
Berlin Intermediate School,8/10,7/10,,5/10
Snow Hill High School,9/10,,5/10,4/10
North Bethesda Middle School,10/10,7/10,,8/10
Cesar Chavez Elementary School,5/10,4/10,,6/10
Charles Herbert Flowers High School,5/10,,4/10,5/10
Oakdale High School,8/10,,10/10,8/10
Maya Angelou French Immersion,5/10,5/10,,5/10
Princess Anne Elementary School,5/10,6/10,,4/10
Woodholme Elementary School,6/10,6/10,,5/10
North Point High School,6/10,,9/10,6/10
Lakelands Park Middle School,9/10,7/10,,6/10
Seven Oaks Elementary School,6/10,6/10,,6/10
Theodore G. Davis Middle School,7/10,6/10,,6/10
Barstow Elementary School,7/10,7/10,,4/10
Nantucket Elementary School,8/10,8/10,,6/10
Vansville Elementary School,6/10,7/10,,6/10
Vincent Farm Elementary School,7/10,,,4/10
Accokeek Academy,6/10,6/10,,6/10
Red Pump Elementary School,8/10,,,5/10
Chesapeake Math and IT Elementary Public Charter,5/10,5/10,,5/10
Bel Air Elementary School,6/10,4/10,,4/10
Fort Hill High School,6/10,,5/10,4/10
John Humbird Elementary School,5/10,7/10,,4/10
Northeast Elementary School,7/10,5/10,,4/10
South Penn Elementary School,4/10,5/10,,4/10
Annapolis Middle School,7/10,6/10,,3/10
Arundel High School,6/10,,8/10,5/10
Chesapeake Bay Middle School,7/10,4/10,,6/10
Belle Grove Elementary School,4/10,5/10,,2/10
Broadneck Elementary School,8/10,,,4/10
Brock Bridge Elementary School,5/10,7/10,,5/10
Brooklyn Park Middle School,6/10,5/10,,6/10
Corkran Middle School,5/10,4/10,,5/10
Crofton Elementary School,9/10,8/10,,5/10
Davidsonville Elementary School,10/10,,,4/10
Eastport Elementary School,5/10,7/10,,4/10
George Fox Middle School,5/10,4/10,,5/10
Glen Burnie Park Elementary School,5/10,4/10,,5/10
Glendale Elementary School,6/10,6/10,,4/10
Macarthur Middle School,5/10,5/10,,4/10
Marley Middle School,4/10,5/10,,4/10
North Glen Elementary School,4/10,3/10,,4/10
Park Elementary School,5/10,4/10,,4/10
Rolling Knolls Elementary School,8/10,7/10,,3/10
Severna Park High School,7/10,,9/10,
Solley Elementary School,6/10,5/10,,6/10
South Shore Elementary School,10/10,9/10,,4/10
Traceys Elementary School,7/10,,,4/10
Meade Middle School,5/10,6/10,,4/10
Broadneck High School,7/10,,8/10,5/10
North County High School,5/10,,5/10,3/10
Armistead Gardens Elementary School,4/10,6/10,,5/10
Hamilton Elementary/Middle School,5/10,6/10,,5/10
Hampstead Hill Academy,5/10,5/10,,3/10
Hilton Elementary School,5/10,7/10,,4/10
Liberty Elementary School,5/10,7/10,,4/10
The Mount Washington School,6/10,4/10,,4/10
Rosemont Elementary School,4/10,6/10,,4/10
Thomas Johnson Elementary School,7/10,4/10,,5/10
New Song Academy,3/10,5/10,,4/10
Arbutus Elementary School,5/10,5/10,,4/10
Bear Creek Elementary School,4/10,4/10,,4/10
Bedford Elementary School,4/10,6/10,,4/10
Berkshire Elementary School,5/10,5/10,,3/10
Carney Elementary School,5/10,5/10,,3/10
Catonsville Middle School,8/10,7/10,,4/10
Charlesmont Elementary School,5/10,7/10,,4/10
Chase Elementary School,5/10,5/10,,5/10
Chatsworth School,6/10,5/10,,3/10
Deer Park Middle Magnet School,5/10,5/10,,4/10
Edgemere Elementary School,6/10,4/10,,4/10
Essex Elementary School,5/10,4/10,,4/10
Fort Garrison Elementary School,10/10,,,3/10
Franklin Middle School,6/10,6/10,,4/10
Franklin High School,5/10,,8/10,4/10
Halethorpe Elementary School,5/10,6/10,,3/10
Southwest Academy,4/10,4/10,,3/10
Loch Raven Technical Academy,5/10,7/10,,4/10
Norwood Elementary School,5/10,,,4/10
Orems Elementary School,5/10,,,4/10
Owings Mills Elementary School,4/10,5/10,,4/10
Pot Spring Elementary School,7/10,8/10,,3/10
Relay Elementary School,7/10,6/10,,3/10
Seneca Elementary School,6/10,8/10,,5/10
Sparrows Point High School,5/10,,7/10,6/10
Villa Cresta Elementary School,6/10,4/10,,3/10
Sparrows Point Middle School,5/10,6/10,,4/10
Oliver Beach Elementary School,6/10,4/10,,4/10
Joppa View Elementary School,7/10,5/10,,3/10
Calvert Middle School,7/10,7/10,,5/10
Mutual Elementary School,8/10,,,5/10
Calvert Elementary School,7/10,5/10,,5/10
St Leonard Elementary School,6/10,7/10,,4/10
Southern Middle School,6/10,5/10,,4/10
Colonel Richardson High School,5/10,,5/10,3/10
Federalsburg Elementary School,5/10,5/10,,3/10
Preston Elementary School,7/10,7/10,,4/10
Francis Scott Key High School,5/10,,9/10,4/10
Mount Airy Elementary School,9/10,8/10,,5/10
William Winchester Elementary School,8/10,7/10,,4/10
Bohemia Manor High School,5/10,,6/10,4/10
Cecilton Elementary School,6/10,4/10,,4/10
Chesapeake City Elementary School,6/10,6/10,,4/10
Elkton High School,4/10,,3/10,4/10
Leeds Elementary School,5/10,4/10,,4/10
North East Middle School,6/10,6/10,,3/10
North East High School,5/10,,4/10,3/10
Perryville Middle School,6/10,5/10,,4/10
Rising Sun Elementary School,6/10,5/10,,4/10
Kenmore Elementary School,6/10,4/10,,4/10
Rising Sun High School,7/10,,8/10,4/10
Westlake High School,5/10,,6/10,4/10
Arthur Middleton Elementary School,6/10,6/10,,3/10
Benjamin Stoddert Middle School,4/10,5/10,,4/10
Dr. Gustavus Brown Elementary School,6/10,,,5/10
Gale-Bailey Elementary School,6/10,6/10,,5/10
General Smallwood Middle School,5/10,4/10,,4/10
J. P. Ryon Elementary School,4/10,6/10,,4/10
Henry E. Lackey High School,4/10,,6/10,4/10
Matthew Henson Middle School,7/10,6/10,,6/10
T. C. Martin Elementary School,8/10,7/10,,6/10
Walter J. Mitchell Elementary School,7/10,7/10,,3/10
Mattawoman Middle School,5/10,5/10,,4/10
William B. Wade Elementary School,6/10,5/10,,5/10
North Dorchester Middle School,6/10,5/10,,4/10
Vienna Elementary School,4/10,6/10,,4/10
Choptank Elementary School,4/10,5/10,,4/10
Frederick High School,5/10,,5/10,4/10
Gov. Thomas Johnson High School,6/10,,6/10,4/10
Walkersville Elementary School,6/10,7/10,,5/10
West Frederick Middle School,7/10,7/10,,4/10
Whittier Elementary School,7/10,6/10,,6/10
Monocacy Middle School,7/10,8/10,,4/10
New Midway/Woodsboro Elementary School,7/10,7/10,,4/10
Broad Ford Elementary School,5/10,7/10,,4/10
Friendsville Elementary School,4/10,5/10,,4/10
Yough Glades Elementary School,5/10,5/10,,4/10
Aberdeen High School,5/10,,4/10,4/10
Deerfield Elementary School,5/10,6/10,,5/10
Edgewood Middle School,6/10,5/10,,5/10
Edgewood High School,5/10,,3/10,5/10
Joppatowne High School,4/10,,3/10,5/10
Magnolia Elementary School,3/10,6/10,,4/10
Roye-Williams Elementary School,6/10,4/10,,5/10
Atholton High School,6/10,,9/10,4/10
Glenwood Middle School,9/10,6/10,,4/10
Hammond High School,6/10,,8/10,5/10
Patapsco Middle School,9/10,6/10,,5/10
Stevens Forest Elementary School,6/10,7/10,,4/10
Talbott Springs Elementary School,6/10,7/10,,3/10
Thunder Hill Elementary School,8/10,6/10,,5/10
Wilde Lake High School,5/10,,7/10,3/10
Murray Hill Middle School,6/10,,,5/10
Clemens Crossing Elementary School,9/10,6/10,,8/10
Bollman Bridge Elementary School,5/10,6/10,,4/10
Patuxent Valley Middle School,6/10,4/10,,4/10
Mayfield Woods Middle School,7/10,5/10,,4/10
