names, test_score_rating, academic_progress_rating,    college_readiness_rating, equity_overall_rating
Severna Park Christian School,,,,
Shabach! Christian Academy,,,,
Shalheves High School,,,,
Shiloh Christian Academy,,,,
Sidwell Friends Academy,,,,
St Stephens Classical Christian Academy,,,,
Crossland Latin School,,,,
St. Thomas More Academy,,,,
Stepping Stones Learning Academy,,,,
School Of The Incarnation,,,,
Taylor School,,,,
Beth-El,,,,
Harry and Jeanette Weinberg Academy,,,,
Waldorf School of Baltimore,,,,
London Towne Academy,,,,
Maple Shade School,,,,
Well Watered Wells Leadership Academy,,,,
The Nora School,,,,
Villa Maria School,,,,
Katherine Thomas School,,,,
Calvary Weekday School,,,,
Villa Maria School,,,,
Transition Program at Frostburg,,,,
Central Special School,,,,
Marley Glen School,,,,
Ruth Parker Eason School,,,,
Thurgood Marshall High School,,,,
Doris M. Johnson High School,,,,
Battle Monument School,,,,
Maiden Choice School,,,,
Ridge Ruxton School,,,1/10,
Gateway School,,,,
Rock Creek School,,,,
Homewood School,,,,
Folly Quarter Middle School,10/10,9/10,,
Rica-Southern MD,,,,
Community Based Classrooms,,,4/10,
Tanglewood Regional Center,,,,
James E. Duckworth Regional Center,,,,
C. Elizabeth Rieg Regional Center,,,1/10,
Margaret Brent Regional Center,,,,
Edgar Allan Poe Alternative School,,,,
William Schmidt Environmental Center,,,,
Howard B. Owens Science Center,,,,
Marshall Street School,,,,
Washington County Job Development Center,,,,
Arundel Bay Christian Academy,,,,
Sacred Heart Elementary School,,,,
Yeshiva Of Greater Washington Girls Division,,,,
McLean School of Maryland,,,,
Cedar Ridge School,,,,
Granite Baptist School,,,,
Ucp Delrey School,,,,
Aleem Academy,,,,
Bais Hamedrash & Mesivta of Baltimore,,,,
Bnos Yisroel,,,,
Carroll Lutheran School,,,,
Colonial Christian Academy,,,,
Eastern Shore Structured Shelt,,,,
Life Source Christian School,,,,
Genesis Christian Academy,,,,
High Road Academy of Prince George,,,,
Hope Creek Youth & Family Center,,,,
Liberty's Northwest Children's School,,,,
Lighthouse Christian Academy,,,,
French International School,,,,
Montessori Manor,,,,
New Covenant Christian School,,,,
New Directions Academy,,,,
Pathways School - Duval Re-Ent,,,,
S.A.C.R.E.D. Life Academy for Boys,,,,
The Arrow Center for Education-Fair Meadows,,,,
The Forbush School At Westminster,,,,
The Pathways School--Anne Arun,,,,
Washington United Christian Academy,,,,
Yeshiva Of Greater Washington Boys Division,,,,
Yeshivas Lev Shlomo,,,,
Broadwater Creek Academy,,,,
Crossway Community Montessori School,,,,
Lucy School,,,,
New Horizon CDC Summit,,,,
School of Original Thought,,,,
Genisus Learning Center,,,,
Cabin John/Brookmont Children,,,,
Ferndale Christian School,,,,
Greater Grace Christian Academy,,,,
Niverton Amish School,,,,
The Foundation School,,,,
Foundation Intermediate School,,,,
Guide Catonsville Structured School,,,,
Maryland Gospel Assembly School,,,,
The Ridge School Of Montgomery County,,,,
New Visions Academy Of Baltimore,,,,
Nist Child Care Center,,,,
Thomas Ofarrell Youth Center,,,,
Youth In Transition School,,,,
The Children's Guild at Anne Arundel County,,,,
High Road School Of Baltimore County,,,,
New Foundations,,,,
Bowie Christian School,,,,
Building Youth,,,,
The Independent Jewish Academy of Baltimore,,,,
St. Raphael School,,,,
Baltimore County Home & Hospital,,,,
Augusta Fells Savage Institute Of Visual Arts,1/10,,1/10,1/10
Calvert County Alternative School,,,,
Flexible Student Support,,,,
Post Secondary Program,,,,
Pride School,,,,
Cradlerock Elementary School,,,,
Mcps Transitions School,,,,
Woodstream Christian Academy,,,,
Feynman School,,,,
City Neighbors Charter School,4/10,4/10,,2/10
Parr's Ridge Elementary School,,,,
High Road School Of Southern Maryland,,,,
Annapolis Area Christian School - High School,,,,
Bridges Montessori,,,,
Most Blessed Sacrament Catholic School,,,,
Harbour School At Baltimore,,,,
Strawbridge School Extension Program,,,,
Thornton Friends School - Upper,,,,
Children's Guild-Anne Arundel County,,,,
Sisters Academy Of Baltimore,,,,
Harford Lutheran School,,,,
Phoenix Resource Program,,,,
Ridge School Of Anne Arundel County,,,,
Sandy Spring Friends School,,,,
Ets Chaiyim School,,,,
Baltimore Lab School,,,,
Gerstell Academy,,,,
Pathways School - Springville Re-Entry,,,,
True Gospel Christian Academy,,,,
Jessie B. Mason Regional School,,,,
Cornerstone Academy,,,,
Dr Thomas L Stephens Academy,,,,
Cathedral Christian Academy,,,,
National Children's Center School/Maryland Site,,,,
Kennedy Krieger At Southern High School,,,,
Zion Christian Middle School,,,,
The Forbush School at Margaret Brent,,,,
Hannah More At Severna Park High School,,,,
Trinity School Of Frederick,,,,
The Lodge School,,,,
Bais Yaakov Eva Winer High School,,,,
Social Secur-A-Kiddie Center--Woodlawn,,,,
Avalon School,,,,
The Shoshana S Cardin School,,,,
Kingsway Academy,,,,
High Road School Of Prince George's County,,,,
Wye River Upper School,,,,
First Steps Preschool & Covenant,,,,
Chesapeake Montessori School,,,,
Robert Franklin Stokes Christian School 4 the Arts,,,,
Mother Mary Lange Catholic School,,,,
Church Of The Redeemer Day School,,,,
St Margaret School,,,,
Washington Waldorf School,,,,
St. Margaret of Scotland Catholic,,,,
Beginnings Montessori School,,,,
St Stephens Christian Academy,,,,
Our Lady of Mount Carmel Elementary School,,,,
Kidsco Day Care,,,,
Relay Children's Center,,,,
Greenwood School,,,,
Jericho Christian Academy,,,,
The Salisbury School,,,,
Casa De Montessori School,,,,
Glenwood Academy,,,,
St Philip the Apostle Catholic School,,,,
New Chapel Christian Academy,,,,
Melwood Child Development Center,,,,
Waldorf Christian Academy,,,,
The Green School,5/10,4/10,,1/10
Middletown Primary School,,,,
Roscoe R Nix Elementary School,,,,
Dayton Oaks Elementary School,10/10,7/10,,10/10
Restoration Alternative Academy Charter School,,,,
Academy of Achievement,,,,
Agape Christian Academy,,,,
Barren Creek Christian Academy,,,,
Calvary Baptist School,,,,
Cambridge Christian Academy,,,,
Christian Bible Academy,,,,
Excellence Christian School,,,,
GLA Academy School of Excellence,,,,
Grace Baptist Academy,,,,
Greater Mt Nebo Christian Academy,,,,
Greater Youth Christian Academy,,,,
Hannah More at Chesapeake High School,,,,
Friends School of Harford,,,,
High Road School Of Cecil County - Elkton,,,,
High Road Upper School of Prince George's County,,,,
Hope Christian Academy,,,,
Hopewell Academy,,,,
Imani Christian School,,,,
Lighthouse Christian Academy,,,,
Mays Woodson Christian Academy,,,,
Mount Pleasant Christian School,,,,
New Spiritual Foundation Edu,,,,
Open Bible Academy,,,,
Pleasant Rock Christian School,,,,
Premier Academy,,,,
Purpose & Potential Arts Academy,,,,
Reid Temple Christian Academy,,,,
Board Of Child Care Strawbridge School,,,,
Teaching & Learning Institute,,,,
The Foundation School of Montgomery County,,,,
Meadowview Amish School,,,,
The Siena School,,,,
Thee Christian School,,,,
Union Bethel Christian Academy,,,,
Willow Park Academy,,,,
Kid's Hill Daycare,,,,
Crossroads Center,,,,
Patterson Mill High School,8/10,,7/10,10/10
Chesapeake Charter School,9/10,7/10,,
The Auburn School, Silver Spring Campus,,,
New Beginnings Formerly Oak Hill,,,,
Glenn Dale Montessori,,,,
Elijah School,,,,
The Legacy School,,,,
All-State Career School,,,,
Princeton Day Academy,,,,
Chesapeake Speech,,,,
Cristo Rey Jesuit High School,,,,
The Diener School,,,,
Faith Christian Fellowship Academy,,,,
Family Academy of Bethesda The,,,,
The Forbush School At Prince Georges County,,,,
Forbush School At Oakmont Upper School The,,,,
Gods Little Cherubs Elementary School,,,,
Grace Episcopal Day School,,,,
Griggs International Academy,,,,
Helping Hands Child Development Academy,,,,
Holiness Christian Academy,,,,
Jabez Christian Academy,,,,
Kemp Mill Montessori School Kehillat Montessori,,,,
Laurel Hall School - Frederick,,,,
Learning Cooperative The,,,,
Living Grace Christian School,,,,
The Maddux School,,,,
Marcia D Smith School,,,,
Mount Jezreel Christian School,,,,
Mount Pleasant Christian School,,,,
New Spiritual Foundation Christian Academy,,,,
Oakdale Christian Academy,,,,
Pathways School - Crossland Re Entry,,,,
Pathways School - Hyattsville,,,,
Pin Cushion Mennonite School,,,,
Play & Learn at Annapolis,,,,
Princeton Day Academy,,,,
St Demetrios Greek Orthodox Bilingual Day School,,,,
Clara Muhammad School,,,,
St Patrick School,,,,
St Joseph's School,,,,
Stone Bridge Academy,,,,
Thomas Jefferson Preparatory School,,,,
Trellis School The,,,,
Villa Maria School Of Harford County,,,,
Woodbourne School At Conrad,,,,
Yang Academy,,,,
Hickory Hollow School,,,,
The New Century School,,,,
Compass Academy,,,,
Essex Children's Center,,,,
Nia Imani Academy of Excellence,,,,
Carroll Creek Montessori Public Charter School,4/10,3/10,,
Chester River Adventist School,,,,
Budds Creek Amish Parochial School,,,,
Community School Of Md At Northwood High School,,,,
Denton Run Amish Parochial School,,,,
Echelon Academy,,,,
Flintstone Mennonite School,,,,
Forbush School At Anne Arundel The,,,,
Forbush School At Hunt Valley,,,,
Fox Lumber Amish Parochial School,,,,
Glenn Dale Montessori School,,,,
Gods Little Angels Academy,,,,
Guiding Light Christian Academy,,,,
Hannah More At North Carroll High School,,,,
Kemet Daycare Center #2,,,,
Kennedy Krieger School,,,,
Kennedy Krieger School Greenspring Campus,,,,
Lighthouse Christian Academy,,,,
Mesivta Neimus Hatorah,,,,
New Horizon Child Development Center,,,,
Open Door Christian School,,,,
Pathways School Anne Arundel,,,,
Resurrection St Paul School,,,,
Ryceville Amish Parochial School,,,,
School For Tomorrow,,,,
Seaside Christian Academy,,,,
Silver Oak Academy,,,,
Sulam School,,,,
Sunny Meadow Amish Parochial School,,,,
The Auburn School,,,,
The Mann Residential School,,,,
The Montessori Schools,,,,
Trinity Run Amish Parochial School,,,,
Unseld's Developmental Center,,,,
Westham Amish Parochial School,,,,
Woodburn Hill Amish Parochial School,,,,
Academy Of Health Sciences At Pgcc,,,8/10,
Ruth Ann Monroe Primary,,,,
The Community School,,,,
Frederick Classical Charter School,9/10,7/10,,10/10
International Connections Academy,,,,
Windsor Christian Academy,,,,
Annapolis TALS Education Program,,,,
Baltimore School of Independent Learners,,,,
Fellowship Christian School,,,,
Maryland International School STEM Academy,,,,
Bard High School Early College,6/10,,,5/10
Hallie Wells Middle School,,,,
St Joseph Elementary School,,,,
Studio 39,,,,
International High School @ Largo,,,,
International High School @ Langley Park,,,,
Jonathan Hager Elementary,,,,
