names, ratings, addresses, classes, types, grades, student_nums, st_ratios, districts, 
Shady Side Elementary School,7/10,4859 Atwell Road, Shady Side, MD, 20764,Above average,Public district,PK-5,501,16:1,Anne Arundel County Public Schools
Southern Middle School,7/10,5235 Solomons Island Road, Lothian, MD, 20711,Above average,Public district,6-8,764,13:1,Anne Arundel County Public Schools
Sunset Elementary School,7/10,8572 Fort Smallwood Road, Pasadena, MD, 21122,Above average,Public district,PK-5,483,15:1,Anne Arundel County Public Schools
Crofton Meadows Elementary School,8/10,2020 Tilghman Drive, Crofton, MD, 21114,Above average,Public district,K-5,576,15:1,Anne Arundel County Public Schools
Roland Park Elementary/Middle School,7/10,5207 Roland Ave, Baltimore, MD, 21210,Above average,Public district,PK-8,1400,20:1,Baltimore City Public Schools
Seven Oaks Elementary School,7/10,9220 Seven Courts Drive, Parkville, MD, 21234,Above average,Public district,PK-5,437,18:1,Baltimore County Public Schools
Lutherville Laboratory,8/10,1700 York Road, Lutherville-Timonium, MD, 21093,Above average,Public district,PK-5,420,17:1,Baltimore County Public Schools
Gunpowder Elementary School,7/10,9540 Holiday Manor Road, Nottingham, MD, 21236,Above average,Public district,K-5,562,18:1,Baltimore County Public Schools
Harford Hills Elementary School,6/10,8902 Old Harford Road, Parkville, MD, 21234,Average,Public district,PK-5,419,16:1,Baltimore County Public Schools
Kingsville Elementary School,8/10,7300 Sunshine Avenue, Kingsville, MD, 21087,Above average,Public district,K-5,355,18:1,Baltimore County Public Schools
Stoneleigh Elementary School,8/10,900 Pemberton Road, Baltimore, MD, 21212,Above average,Public district,K-5,730,18:1,Baltimore County Public Schools
Summit Park Elementary School,8/10,6920 Diana Road, Baltimore, MD, 21209,Above average,Public district,K-5,466,15:1,Baltimore County Public Schools
Woodbridge Elementary School,7/10,1410 Pleasant Valley Drive, Catonsville, MD, 21228,Above average,Public district,PK-5,432,18:1,Baltimore County Public Schools
Plum Point Middle School,8/10,1475 Plum Point Road, Huntingtown, MD, 20639,Above average,Public district,6-8,748,16:1,Calvert County Public Schools
Beach Elementary School,8/10,7900 Old Bayside Road, Chesapeake Beach, MD, 20732,Above average,Public district,PK-5,576,18:1,Calvert County Public Schools
Huntingtown Elementary School,7/10,4345 Huntingtown Road, Huntingtown, MD, 20639,Above average,Public district,PK-5,468,17:1,Calvert County Public Schools
Mount Harmony Elementary School,8/10,900 West Mount Harmony Road, Owings, MD, 20736,Above average,Public district,K-5,525,17:1,Calvert County Public Schools
Northern Middle School,7/10,2954 Chaneyville Road, Owings, MD, 20736,Above average,Public district,6-8,679,17:1,Calvert County Public Schools
Northern High School,9/10,2950 Chaneyville Road, Owings, MD, 20736,Above average,Public district,9-12,1484,17:1,Calvert County Public Schools
Patuxent High School,7/10,12485 Southern Connector Boulevard, Lusby, MD, 20657,Above average,Public district,9-12,1045,16:1,Calvert County Public Schools
Windy Hill Elementary School,8/10,9550 Boyds Turn Rd, Owings, MD, 20736,Above average,Public district,PK-5,736,16:1,Calvert County Public Schools
Sunderland Elementary School,8/10,150 C Jones Road, Sunderland, MD, 20689,Above average,Public district,PK-5,726,17:1,Calvert County Public Schools
Friendship Valley Elementary School,7/10,1100 Gist Road, Westminster, MD, 21157,Above average,Public district,K-5,484,8:1,Carroll County Public Schools
Runnymede Elementary School,7/10,3000 Langdon Drive, Westminster, MD, 21158,Above average,Public district,PK-5,539,8:1,Carroll County Public Schools
Eldersburg Elementary School,8/10,1021 Johnsville Road, Eldersburg, MD, 21784,Above average,Public district,PK-5,474,10:1,Carroll County Public Schools
Westminster Elementary School,8/10,811 Uniontown Road, Westminster, MD, 21158,Above average,Public district,PK-5,476,10:1,Carroll County Public Schools
Westminster West Middle School,7/10,60 Monroe Street, Westminster, MD, 21157,Above average,Public district,6-8,1017,11:1,Carroll County Public Schools
Malcolm Elementary School,7/10,14760 Poplar Hill Road, Waldorf, MD, 20601,Above average,Public district,PK-5,427,15:1,Charles County Public Schools
Mt Hope/Nanjemoy Elementary School,6/10,9275 Ironsides Road, Nanjemoy, MD, 20662,Average,Public district,PK-5,326,13:1,Charles County Public Schools
Twin Ridge Elementary School,8/10,1106 Leafy Hollow Circle, Mount Airy, MD, 21771,Above average,Public district,PK-5,530,17:1,Frederick County Public Schools
Windsor Knolls Middle School,8/10,11150 Windsor Road, Ijamsville, MD, 21754,Above average,Public district,6-8,781,18:1,Frederick County Public Schools
Glade Elementary School,8/10,9525 Glade Road, Walkersville, MD, 21793,Above average,Public district,PK-5,638,18:1,Frederick County Public Schools
Green Valley Elementary School,8/10,11501 Fingerboard Road, Monrovia, MD, 21770,Above average,Public district,PK-5,367,15:1,Frederick County Public Schools
Lewistown Elementary School,7/10,11119 Hessong Bridge Road, Thurmont, MD, 21788,Above average,Public district,K-5,168,11:1,Frederick County Public Schools
Liberty Elementary School,7/10,11820 Liberty Road, Frederick, MD, 21701,Above average,Public district,K-5,283,15:1,Frederick County Public Schools
Middletown High School,8/10,200 Schoolhouse Drive, Middletown, MD, 21769,Above average,Public district,9-12,1151,19:1,Frederick County Public Schools
North Frederick Elementary School,7/10,1010 Fairview Avenue, Frederick, MD, 21701,Above average,Public district,PK-5,635,14:1,Frederick County Public Schools
Ballenger Creek Elementary School,7/10,5250 Kingsbrook Drive, Frederick, MD, 21703,Above average,Public district,PK-5,657,17:1,Frederick County Public Schools
Northern Middle School,7/10,371 Pride Parkway, Accident, MD, 21520,Above average,Public district,6-8,316,11:1,Garrett County Public Schools
Church Creek Elementary School,7/10,4299 Church Creek Road, Belcamp, MD, 21017,Above average,Public district,PK-5,798,17:1,Harford County Public Schools
Dublin Elementary School,7/10,1527 Whiteford Road, Street, MD, 21154,Above average,Public district,PK-5,266,15:1,Harford County Public Schools
Forest Lakes Elementary School,8/10,100 Osborne Parkway, Forest Hill, MD, 21050,Above average,Public district,K-5,460,15:1,Harford County Public Schools
Havre De Grace Elementary School,6/10,600 South Juniata Street, Havre de Grace, MD, 21078,Average,Public district,PK-5,450,12:1,Harford County Public Schools
Havre De Grace High School,7/10,700 Congress Avenue, Havre de Grace, MD, 21078,Above average,Public district,9-12,605,11:1,Harford County Public Schools
